City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,cabo san lucas,22.8909,-109.9124,97.61,63,0,6.91,MX,1694718765
150,maumere,-8.6199,122.2111,76.59,64,72,4.23,ID,1694718766
151,crane,31.3974,-102.3501,88.84,31,0,8.28,US,1694718766
152,banda aceh,5.5577,95.3222,78.62,83,100,4.32,ID,1694718703
153,nago,26.5881,127.9761,81.03,84,7,5.14,JP,1694718767
154,twon-brass,4.3151,6.2418,78.91,83,44,10.98,NG,1694718767
155,bubaque,11.2833,-15.8333,82.67,80,100,9.73,GW,1694718767
156,kodiak,57.79,-152.4072,47.71,71,20,0.0,US,1694718768
157,iskateley,67.6803,53.1512,43.95,92,100,12.5,RU,1694718768
158,chongwe,-15.3292,28.682,65.46,62,0,5.82,ZM,1694718768
159,puerto deseado,-47.7503,-65.8938,45.54,52,4,6.82,AR,1694718769
160,geraldton,-28.7667,114.6,52.21,93,40,9.22,AU,1694718770
161,kodinar,20.7903,70.7031,79.48,89,16,8.86,IN,1694718770
162,mutuali,-14.8706,37.0044,74.35,47,0,4.92,MZ,1694718770
163,tianchang,37.9981,114.0156,63.46,79,0,5.17,CN,1694718770
164,kharkhorin,47.1975,102.8238,41.83,93,100,4.99,MN,1694718771
165,hammerfest,70.6634,23.6821,43.25,81,40,9.22,NO,1694718771
166,lago da pedra,-4.3333,-45.1667,96.82,31,72,3.69,BR,1694718562
167,yuzhno-kurilsk,44.0306,145.8556,59.13,97,100,8.72,RU,1694718772
168,trindade,-16.6494,-49.4889,87.55,30,98,5.5,BR,1694718564
169,at taj,24.2049,23.2857,82.18,24,0,11.23,LY,1694718772
170,mariental,-24.6333,17.9667,69.48,8,0,9.33,NA,1694718773
171,palmer,42.1584,-72.3287,77.07,51,20,8.05,US,1694718773
172,alice springs,-23.7,133.8833,49.55,40,0,5.75,AU,1694718773
173,sivrihisar,39.4504,31.5341,64.89,28,0,3.58,TR,1694718774
174,pandan,14.0453,124.1694,79.3,86,100,5.32,PH,1694718774
175,aitape,-3.1374,142.3475,76.17,93,100,3.67,PG,1694718774
176,ta`u,-14.2336,-169.5144,80.04,79,23,18.14,AS,1694718775
177,ashburton,-37.8626,145.0794,68.88,57,1,5.01,AU,1694718775
178,idri,27.5,13.2667,82.72,18,0,7.96,LY,1694718775
179,kavaratti,10.5669,72.642,82.13,79,100,14.32,IN,1694718775
180,kapa'a,22.0752,-159.319,81.1,76,40,13.8,US,1694718776
181,caleta olivia,-46.4393,-67.5281,49.33,66,100,15.28,AR,1694718776
182,aasiaat,68.7098,-52.8699,34.27,96,100,5.84,GL,1694718776
183,utrik,11.2278,169.8474,82.72,78,20,15.35,MH,1694718777
184,sisimiut,66.9395,-53.6735,38.48,87,100,27.49,GL,1694718777
